Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000148053,NTRK2,52,-3.3174,234,-1.0275,491,0.24406,33,-3.9665,1338,2.71922
ENSG00000136938,ANP32B,53,-2.0987,181,-0.1253,366,1.26780,64,-1.8269,308,0.89119
ENSG00000070214,SLC44A1,57,-1.5632,12,-3.8458,99,-0.6898,201,0.57731,370,1.99453
ENSG00000198121,LPAR1,54,-0.7587,12,-2.9899,205,1.91702,5,-4.2468,144,1.05678
ENSG00000148180,GSN,10877,4.97401,12,-7.9009,91,-5.0562,986,-1.5152,293,-3.3474
ENSG00000148175,STOM,52,-3.5061,122,-2.2513,35,-4.1102,1978,4.03445,272,-1.0086
ENSG00000136942,RPL35,52,-4.0876,245,-1.7943,481,-0.7189,1315,1.17179,1555,1.57050
ENSG00000197958,RPL12,53,-3.8143,694,0.24060,208,-1.7657,1329,1.62972,761,0.41387
ENSG00000197694,SPTAN1,715,1.22854,12,-5.2122,88,-2.3865,693,1.15785,426,0.17557
ENSG00000119335,SET,52,-2.2534,12,-4.3543,142,-0.6890,547,2.08818,306,0.69831
ENSG00000126878,AIF1L,5362,4.28862,314,-2.2868,104,-3.9311,597,-1.2948,81,-4.2962
ENSG00000148303,RPL7A,52,-3.5948,41,-3.9506,189,-1.6657,1330,2.06964,984,1.28583
ENSG00000172889,EGFL7,52,-4.2621,15,-6.0157,40,-4.6359,3854,6.02961,126,-2.9646
ENSG00000196642,RABL6,52,-1.9024,259,0.83967,103,-0.8267,125,-0.5067,297,1.13881
ENSG00000107223,EDF1,53,-2.2595,12,-4.3972,64,-1.9752,591,2.25638,363,1.00797
ENSG00000107317,PTGDS,53,-4.6859,1346,0.34915,571,-1.1287,1201,0.13706,2400,1.59696
ENSG00000123240,OPTN,3400,4.16953,12,-6.3443,190,-2.3767,264,-1.8807,288,-1.7475
ENSG00000026025,VIM,52,-5.0768,1029,-0.5694,17,-6.6562,5615,3.88009,425,-1.9792
ENSG00000078114,NEBL,52,-1.6400,129,-0.1546,111,-0.4075,8,-4.4333,402,2.42031
ENSG00000107863,ARHGAP21,58,-1.6516,184,0.29059,255,0.93495,63,-1.5224,227,0.69891
ENSG00000170759,KIF5B,54,-2.4263,269,0.17709,459,1.26609,6,-5.6456,433,1.13680
ENSG00000237949,LINC00844,52,-1.6846,12,-3.8032,97,-0.6856,24,-2.8487,538,3.52544
ENSG00000060339,CCAR1,52,-2.2332,12,-4.3141,142,-0.6461,625,2.60752,202,-0.0398
ENSG00000197746,PSAP,53,-3.6877,341,-0.8454,174,-1.9086,660,0.30671,1566,2.34918
ENSG00000107742,SPOCK2,53,-3.1946,12,-5.2805,85,-2.4992,1289,2.83815,570,0.66162
ENSG00000168209,DDIT4,52,-2.8015,411,0.55735,70,-2.3808,482,0.88086,513,1.01335
ENSG00000138326,RPS24,53,-4.7924,1445,0.36703,501,-1.4369,2142,1.17798,1787,0.78738
