Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000266472,MRPS21,81,-1.2892,541,1.93542,189,0.03412,107,-0.8701,35,-2.5270,108,-0.8487,335,1.00554,84,-1.2242
ENSG00000143384,MCL1,10,-3.9155,0,-7.7672,70,-1.1911,134,-0.0822,50,-1.5842,77,-0.9405,335,1.52042,520,2.47061
ENSG00000143420,ENSA,10,-3.4612,144,0.55100,97,-0.1061,135,0.44583,21,-2.4221,79,-0.4284,335,2.17308,9,-3.5646
ENSG00000213190,MLLT11,10,-4.8898,678,1.58348,574,1.58644,94,-1.6635,34,-3.1557,184,-0.6395,335,0.31792,1,-7.6900
ENSG00000159352,PSMD4,455,1.52126,99,-1.0387,198,0.06653,114,-0.8196,18,-3.5259,153,-0.3577,335,0.94904,152,-0.3710
ENSG00000143393,PI4KB,10,-3.6356,13,-3.2478,136,0.29717,64,-0.9263,22,-2.5190,84,-0.5048,335,1.91094,245,1.28461
ENSG00000159377,PSMB4,10,-4.6015,419,1.04859,343,0.82674,205,-0.1601,51,-2.2758,144,-0.7103,335,0.65550,187,-0.3055
ENSG00000143376,SNX27,10,-3.2962,100,0.13940,111,0.35807,99,0.10860,40,-1.3066,22,-2.1463,335,2.42848,1,-6.1105
ENSG00000197747,S100A10,7293,5.19038,43,-4.6519,148,-3.0440,193,-2.4910,34,-5.0017,59,-4.2218,335,-1.6716,633,-0.7044
ENSG00000197956,S100A6,10,-5.0732,262,-0.2853,369,0.30805,704,1.40933,60,-2.5057,335,0.10959,335,0.10969,377,0.30161
ENSG00000189171,S100A13,10,-4.0269,116,-0.4368,42,-2.1219,329,1.33768,96,-0.7191,259,0.89958,335,1.37233,140,-0.1379
ENSG00000160678,S100A1,10,-3.7302,80,-0.6900,6,-4.4988,376,2.02022,61,-1.1129,239,1.12329,335,1.77636,1,-6.5358
ENSG00000143621,ILF2,10,-3.8125,74,-0.8991,100,-0.4872,75,-0.8678,28,-2.3666,48,-1.5607,335,1.66034,411,2.09056
ENSG00000143543,JTB,10,-3.7463,220,0.94749,110,-0.2400,184,0.63867,26,-2.3866,127,0.01558,335,1.75249,7,-4.1590
