gene	module
WDR92	5
ZBBX	5
ZNF19	5
ZNF487	5
ACLY	6
ADM	6
AK2	6
AK4	6
ALDH18A1	6
ANGPTL4	6
ANKRD37	6
ARFGEF3	6
ARID3A	6
BHLHE41	6
BNIP3	6
BNIP3L	6
BSG	6
C4orf47	6
CABIN1	6
CCDC58	6
CHSY1	6
DARS	6
DDIT4	6
DHRS3	6
DIRC3	6
EFCAB3	6
EGLN1	6
EHD2	6
ELMSAN1	6
ENO1	6
ENO2	6
ERO1A	6
FAM162A	6
FAM234B	6
FGF11	6
FLNA	6
FUT11	6
GAPDH	6
GBE1	6
GPI	6
GYS1	6
HDAC7	6
HILPDA	6
HOMER1	6
IGFBP5	6
INSIG2	6
ITGB3BP	6
KBTBD11	6
KDM4C	6
LDHA	6
LRP2BP	6
METTL2B	6
MGAT3	6
NGLY1	6
NXN	6
P4HA1	6
PDK1	6
PDK3	6
PDK4	6
PFKFB4	6
PFKL	6
PFKP	6
PGAM1	6
PGK1	6
PKD1	6
PKM	6
PLIN1	6
PLOD2	6
PLXNB2	6
PPFIA4	6
PPP1R3E	6
RAB20	6
RAPGEF4	6
RHBDL3	6
SIVA1	6
SLC2A1	6
SNAPC1	6
TBC1D9B	6
TCAF2	6
TECR	6
TNIP1	6
TPI1	6
TXNIP	6
VDAC1	6
VEGFA	6
WNT7A	6
YEATS2	6
ZNF292	6
ZNF395	6
ZNF470	6
ZNF654	6
ABI3BP	7
ADAMTSL1	7
ADAMTSL3	7
ARHGAP6	7
ATRNL1	7
C8orf34	7
CASK	7
CCDC85A	7
CD200	7
CLSTN2	7
CLVS1	7
CNTN3	7
COL24A1	7
COL8A1	7
CPAMD8	7
CYP4F12	7
DCLK1	7
DGKI	7
DMD	7
DPYD	7
DSCAM	7
ECM2	7
EPHA5	7
FREM1	7
GALNT13	7
GALNT15	7
GHR	7
GREB1L	7
GRIA3	7
GRIK3	7
GRIN2A	7
HCN1	7
HECW2	7
HS6ST3	7
ITGA2	7
ITGBL1	7
KCNAB1	7
KCNJ3	7
KCNT2	7
KITLG	7
KSR2	7
L3MBTL4	7
LRAT	7
LUZP2	7
MARCH1	7
MYLK	7
MYO5C	7
MYRIP	7
NFASC	7
NLGN1	7
NOS1AP	7
NRXN3	7
NT5DC3	7
PCDH15	7
PCP4	7
PLCB4	7
PLCXD3	7
PLXNC1	7
PRKCB	7
PRR16	7
RHOBTB1	7
ROBO2	7
RTN1	7
SGSM1	7
SHTN1	7
SIDT1	7
SLC44A5	7
SLC47A2	7
SLCO3A1	7
SLITRK5	7
SMOC1	7
SORCS3	7
ST6GAL1	7
STXBP5L	7
SYNDIG1	7
SYNPO2	7
TANC2	7
TENM1	7
TMEM163	7
TMEM255A	7
TTLL7	7
TTN	7
VCAN	7
ABHD3	8
AHSA1	8
ATP2C1	8
BAG2	8
BAG3	8
BCAS2	8
CACYBP	8
CAP2	8
CCDC117	8
CCDC151	8
CCT2	8
CCT3	8
CCT4	8
CCT5	8
CCT8	8
CHORDC1	8
COX19	8
CRYAB	8
CRYZ	8
CYP39A1	8
CYR61	8
DNAJA1	8
DNAJA4	8
DNAJB1	8
DNAJB2	8
DNAJB6	8
ENGASE	8
FBXL14	8
FKBP4	8
FXR1	8
GIPC2	8
GPR89B	8
HIBCH	8
HIST1H2AC	8
HMGB1	8
HSP90AA1	8
HSP90AB1	8
HSPA1A	8
HSPA1B	8
HSPA4	8
HSPA4L	8
HSPA8	8
HSPA9	8
HSPB1	8
HSPD1	8
HSPE1-MOB4	8
HSPH1	8
JDP2	8
JMJD6	8
KLHL25	8
MIB1	8
MKNK2	8
MORF4L2	8
MRPL18	8
MXD1	8
NAA16	8
NUDC	8
OSBPL1A	8
PAPOLA	8
PLOD1	8
PLOD3	8
POLN	8
PPID	8
PTGES3	8
RANGAP1	8
RUVBL2	8
SERPINH1	8
SEZ6L	8
SH3BGR	8
SLBP	8
SNX3	8
ST13	8
STIP1	8
SUGT1	8
TCEAL9	8
TCP1	8
TMEM161A	8
TRIM26	8
TSHZ1	8
UBALD1	8
UBE2B	8
ADCY2	9
ADGRB3	9
ADGRL3	9
ANK2	9
ANKRD26	9
BAZ1B	9
BDP1	9
BOD1L1	9
CADM2	9
CDH20	9
CDK11A	9
CNTN1	9
COL19A1	9
CTNNA2	9
CTNND2	9
DOCK4	9
DST	9
DTNA	9
EIF5B	9
ELOA	9
ERBB4	9
FMN2	9
GABRB1	9
GOLGA6L10	9
GOLGB1	9
GPC5	9
GPM6A	9
HSD17B14	9
KDM2B	9
LRP1B	9
LSAMP	9
LUC7L3	9
MACF1	9
MAGI2	9
MAPK10	9
MPHOSPH8	9
MSI2	9
NCL	9
NEBL	9
NFIA	9
NKTR	9
NOL8	9
NOM1	9
NPAS3	9
NRG3	9
NRXN1	9
NTM	9
PARD3	9
PCDH9	9
PITPNC1	9
PNISR	9
PNN	9
PPP2R2B	9
PRKCA	9
PRPF38B	9
PRPF4B	9
QKI	9
RBBP6	9
RIF1	9
RNPC3	9
RORA	9
SLC1A2	9
SLC43A2	9
SON	9
SORBS1	9
SOX5	9
SRP19	9
SRRM1	9
TCEAL4	9
TNRC6A	9
TRIP11	9
WDR60	9
WWOX	9
ZBTB20	9
ZMAT1	9
ZNF155	9
ZNF780B	9
ANKRD35	10
ATP6V1G1	10
B2M	10
C1QBP	10
C2orf74	10
C4orf3	10
C8orf59	10
CCDC85B	10
CDC26	10
COPS8	10
CUEDC2	10
CWC15	10
DCTN6	10
DYNLT1	10
EIF1	10
ERP29	10
FAM200B	10
FTH1	10
GTF2A2	10
HMGN2	10
JTB	10
LSM5	10
MPC2	10
MRPS14	10
MRPS33	10
MSRB2	10
MYL6	10
NAA38	10
NDUFB5	10
NME4	10
NOL7	10
NT5C3B	10
NUPR1	10
PFDN4	10
PLEKHJ1	10
PNRC1	10
PPDPF	10
PPM1G	10
PRR13	10
RARRES2	10
RWDD1	10
SEC11C	10
SET	10
SFT2D1	10
SNRPB2	10
SNRPD1	10
SNU13	10
SSB	10
