Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000065548,ZC3H15,203,1.25112,62,-0.9738,126,0.19237,1,-6.0958,97,-0.3102
ENSG00000138448,ITGAV,55,-1.8841,165,-0.0159,150,-0.2044,178,0.10404,292,1.21300
ENSG00000144369,FAM171B,124,0.48758,73,-0.4620,120,0.42156,3,-5.0109,106,0.18250
ENSG00000151690,MFSD6,321,1.28873,129,-0.5235,84,-1.3237,92,-1.0540,199,0.21430
ENSG00000115419,GLS,379,2.38300,24,-2.7859,123,-0.3531,55,-1.5668,54,-1.7199
ENSG00000115524,SF3B1,124,-0.2724,146,0.02786,75,-1.1450,202,0.57724,201,0.69129
ENSG00000144381,HSPD1,469,1.12471,82,-1.9041,280,0.01199,260,-0.1122,194,-0.6618
ENSG00000115541,HSPE1,351,0.33172,481,0.82847,134,-1.3907,352,0.28632,286,-0.0703
ENSG00000115896,PLCL1,78,-0.6250,163,0.68071,62,-0.9984,2,-5.9328,215,1.53085
ENSG00000082153,BZW1,187,0.32103,128,-0.3580,108,-0.7052,199,0.37243,178,0.22180
ENSG00000013441,CLK1,81,-0.8969,49,-1.5771,63,-1.3152,166,0.35868,284,1.75560
ENSG00000119013,NDUFB3,366,1.27107,212,0.05523,109,-1.1116,177,-0.2376,150,-0.5713
ENSG00000115993,TRAK2,53,-1.5719,420,2.21818,113,-0.2818,123,-0.1012,88,-0.7315
ENSG00000116030,SUMO1,207,0.98060,148,0.20623,66,-1.2023,111,-0.2629,119,-0.1679
ENSG00000204217,BMPR2,300,1.17528,110,-0.7389,104,-0.9242,397,1.47091,41,-2.4208
ENSG00000138443,ABI2,149,0.02126,86,-0.8467,138,-0.1143,147,-0.0029,184,0.45365
ENSG00000023228,NDUFS1,237,0.72287,112,-0.6392,144,-0.2794,74,-1.2823,194,0.29422
ENSG00000114942,EEF1B2,461,0.28699,675,0.90749,219,-1.0629,642,0.81671,257,-0.7976
ENSG00000078018,MAP2,919,1.09426,347,-0.7450,784,0.72060,312,-0.9084,177,-1.9305
ENSG00000115365,LANCL1,206,-0.9618,269,-0.4420,106,-2.0374,283,-0.3572,824,2.07013
ENSG00000115414,FN1,46,-3.2477,18,-4.4092,91,-2.2100,2310,5.29815,58,-2.8822
ENSG00000079246,XRCC5,156,0.15215,39,-2.0036,139,-0.0761,239,0.86854,143,-0.0138
ENSG00000197756,RPL37A,1030,-1.4964,5243,1.36368,1514,-0.8591,4704,1.15374,2234,-0.1654
ENSG00000163466,ARPC2,197,0.04775,45,-2.2424,124,-0.7921,573,2.04726,140,-0.5854
ENSG00000127837,AAMP,138,0.38254,42,-1.5652,68,-0.9214,268,1.53598,95,-0.3399
ENSG00000127838,PNKD,201,1.24579,111,-0.0278,67,-0.9307,74,-0.6866,93,-0.3682
ENSG00000135926,TMBIM1,47,-2.0913,115,-0.5547,61,-1.6738,238,0.64917,365,1.93992
ENSG00000135929,CYP27A1,5,-4.2521,83,0.03317,42,-1.1436,62,-0.4434,205,2.34728
ENSG00000144567,RETREG2,456,1.55302,102,-1.2756,157,-0.6963,156,-0.6287,179,-0.4640
ENSG00000127824,TUBA4A,789,3.57937,41,-2.7354,157,-0.8119,21,-3.6985,9,-5.1713
ENSG00000135924,DNAJB2,261,-0.4018,79,-2.1730,175,-1.0926,302,-0.1162,670,1.67852
ENSG00000054356,PTPRN,538,3.06643,17,-3.5638,135,-0.5529,42,-2.2720,27,-3.0814
ENSG00000123983,ACSL3,337,1.17622,147,-0.4681,135,-0.6756,180,-0.1393,148,-0.5136
ENSG00000171951,SCG2,2190,3.21839,215,-1.8892,486,-0.7254,46,-4.1401,89,-3.3903
ENSG00000135919,SERPINE2,85,-1.3217,79,-1.2903,376,1.69785,202,0.18592,121,-0.7250
ENSG00000135905,DOCK10,11,-3.4467,90,-0.0504,35,-1.6788,1,-5.8159,281,3.18758
